timestamp,gaze2d_x,gaze2d_y
30.63656687,0.60355055,0.37605736
30.70671787,0.5563799,0.37654197
30.77683587,0.51797336,0.37711242
30.83692937,0.49753085,0.37840122
30.907079369999998,0.47054604,0.38424906
30.977198870000002,0.45703095,0.37583238
31.03729187,0.45131618,0.3725742
31.10744237,0.45054662,0.37159008
31.17756087,0.4530896,0.37222382
31.237653870000003,0.4549611,0.37259868
31.30780487,0.46172714,0.37932515
31.37792287,0.4616869,0.3776664
31.43801687,0.46103042,0.3778334
31.50816687,0.4591502,0.37809354
31.578285870000002,0.45810962,0.37827617
31.63837987,0.45703644,0.37824517
31.70852987,0.4583066,0.38162795
31.77864887,0.46033987,0.38326618
31.838740870000002,0.46236593,0.3856177
31.908892870000003,0.46487454,0.3869173
31.968944370000003,0.46742573,0.38824558
32.039104370000004,0.46944982,0.38496366
32.10925437,0.474686,0.3881522
32.16930637,0.47604823,0.38613436
32.23946737,0.47470924,0.3831823
32.30961737,0.47270158,0.38088408
32.36966937,0.472969,0.38072345
32.43982987,0.47391716,0.3822911
32.50997987,0.47480217,0.3864386
32.57003187,0.47511882,0.3867652
32.64019237,0.476484,0.387044
32.71034187,0.47789654,0.38695914
32.77039437,0.47733983,0.3845946
32.84055437,0.47792065,0.38446584
32.91070437,0.47847807,0.384148
32.970756370000004,0.47813687,0.38265273
33.04091737,0.47987786,0.38160616
33.11106737,0.47951132,0.3838205
33.17111887,0.4793235,0.38293824
33.24127987,0.480151,0.38327667
33.31142937,0.4807644,0.37927094
33.37148187,0.4823197,0.3720497
33.44164187,0.48351344,0.37309295
33.50176587,0.483635,0.3730715
33.57184437,0.48364368,0.37162158
33.64200437,0.48387712,0.37087545
33.702128869999996,0.48388463,0.3704823
33.772206870000005,0.4836855,0.36915356
33.84236687,0.48449057,0.36933428
33.90249137,0.4848211,0.36842266
33.97256887,0.48534378,0.3702948
34.04272937,0.4858558,0.3681108
34.10285337,0.48555106,0.36893177
34.17293137,0.48577547,0.36897317
34.24309187,0.48573703,0.36949626
34.30321587,0.48479846,0.36943594
34.373294369999996,0.48545238,0.36683974
34.44345437,0.48514622,0.36573482
34.50357787,0.48538074,0.36631137
34.57365687,0.4855873,0.36626685
34.643816869999995,0.487931,0.3619672
34.70394087,0.48817167,0.36236808
34.774018870000006,0.48634297,0.36924002
34.844180370000004,0.4844876,0.3683749
34.904302869999995,0.48522222,0.3679802
34.97438237,0.4847262,0.3692207
35.04454187,0.4866387,0.37047255
35.104665870000005,0.48650664,0.3732077
35.17474387,0.4852005,0.37181166
35.234909869999996,0.48552155,0.3685166
35.30502837,0.4865435,0.3605478
35.37510637,0.48588285,0.3579801
35.44526637,0.48800987,0.35672957
35.50539037,0.48943546,0.35523066
35.57546937,0.48895648,0.35286993
