frame,gaze2d_x,gaze2d_y
3cCuhSL.png,0.60355055,0.37605736
hIvHNfJ.png,0.5563799,0.37654197
w7toNFa.png,0.51797336,0.37711242
N6CDgPh.png,0.49753085,0.37840122
Ckf7rkT.png,0.47054604,0.38424906
sRC7tN7.png,0.45703095,0.37583238
hUi1grO.png,0.45131618,0.3725742
43ioIzQ.png,0.45054662,0.37159008
xEn1RIC.png,0.4530896,0.37222382
T61OIyk.png,0.4549611,0.37259868
dLE5ZfF.png,0.46172714,0.37932515
KlMeYBy.png,0.4616869,0.3776664
gy46iTW.png,0.46103042,0.3778334
WGZkf7H.png,0.4591502,0.37809354
pajL6SB.png,0.45810962,0.37827617
9zgO0WY.png,0.45703644,0.37824517
PV5PkMV.png,0.4583066,0.38162795
qOpzvg4.png,0.46033987,0.38326618
8Za9Gpm.png,0.46236593,0.3856177
SVBl0bc.png,0.46487454,0.3869173
5wWbACk.png,0.46742573,0.38824558
3EURezR.png,0.46944982,0.38496366
pWpWLaY.png,0.474686,0.3881522
fXnxYCx.png,0.47604823,0.38613436
FRCqADO.png,0.47470924,0.3831823
k5rVsfR.png,0.47270158,0.38088408
TYp3qPe.png,0.472969,0.38072345
17FucH9.png,0.47391716,0.3822911
Tud9Bgd.png,0.47480217,0.3864386
XET21Z9.png,0.47511882,0.3867652
ENlIwgJ.png,0.476484,0.387044
u4ACRpj.png,0.47789654,0.38695914
9BSspVJ.png,0.47733983,0.3845946
GaPLVxj.png,0.47792065,0.38446584
IYZp0ah.png,0.47847807,0.384148
Ss8oqdb.png,0.47813687,0.38265273
Ysu0Bt3.png,0.47987786,0.38160616
MNizFgB.png,0.47951132,0.3838205
Iw9SdPX.png,0.4793235,0.38293824
naUQBF0.png,0.480151,0.38327667
gIiIP3O.png,0.4807644,0.37927094
UjLXB82.png,0.4823197,0.3720497
3cQ840E.png,0.48351344,0.37309295
CabuSZv.png,0.483635,0.3730715
AsNLMAO.png,0.48364368,0.37162158
F0BPNHw.png,0.48387712,0.37087545
WV1V95Z.png,0.48388463,0.3704823
KuhG6UM.png,0.4836855,0.36915356
1e71dcs.png,0.48449057,0.36933428
PyVwHcw.png,0.4848211,0.36842266
tN1IJYi.png,0.48534378,0.3702948
X5p0Zi3.png,0.4858558,0.3681108
luCF0yV.png,0.48555106,0.36893177
wyddkxn.png,0.48577547,0.36897317
ExctDEj.png,0.48573703,0.36949626
230x3mF.png,0.48479846,0.36943594
pLIzfUd.png,0.48545238,0.36683974
HCbTSS8.png,0.48514622,0.36573482
VvpiyXi.png,0.48538074,0.36631137
R2Iq1MG.png,0.4855873,0.36626685
tXQRafl.png,0.487931,0.3619672
Ht27Oza.png,0.48817167,0.36236808
YY5HeSL.png,0.48634297,0.36924002
vWhZoWy.png,0.4844876,0.3683749
F4Bewt9.png,0.48522222,0.3679802
gXNFZwV.png,0.4847262,0.3692207
VHvfTO4.png,0.4866387,0.37047255
ov1Zt0z.png,0.48650664,0.3732077
TByOUsq.png,0.4852005,0.37181166
XtitG5z.png,0.48552155,0.3685166
0KGcMtj.png,0.4865435,0.3605478
7y4T6Iu.png,0.48588285,0.3579801
86gHM2z.png,0.48800987,0.35672957
r468nZh.png,0.48943546,0.35523066
CNnRUlG.png,0.48895648,0.35286993
